"","condition","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"1","WT","average_curvature_um_1",30,0.007,0.185,0.023,0.014,0.035,0.021,0.014,0.034,0.037,0.007,0.014
"2","WT","curve_length_um",30,3.425,26.087,13.334,6.776,21.508,14.732,10.376,13.982,7.816,1.427,2.919
"3","WT","AUC",30,0.005,1.904,0.124,0.046,0.404,0.358,0.124,0.28,0.394,0.072,0.147
"4","WT","radius",30,5.416,151.797,42.836,28.45,71.407,42.957,31.332,51.083,33.565,6.128,12.533
"5","WT","log2_auc",30,-7.713,0.929,-3.02,-4.475,-1.309,3.166,2.402,-2.959,1.937,0.354,0.723
"6","WT","log2_radius",30,2.437,7.246,5.417,4.827,6.158,1.331,1.065,5.332,1.1,0.201,0.411
"7","2B","average_curvature_um_1",34,0.015,0.645,0.045,0.029,0.07,0.041,0.029,0.072,0.107,0.018,0.037
"8","2B","curve_length_um",34,8.813,28.491,17.758,15.109,23.229,8.12,7.319,18.593,5.647,0.968,1.97
"9","2B","AUC",34,0.007,2.253,0.502,0.265,0.832,0.567,0.43,0.647,0.556,0.095,0.194
"10","2B","radius",34,1.551,64.727,22.241,14.274,34.82,20.546,14.85,25.023,15.053,2.582,5.252
"11","2B","log2_auc",34,-7.222,1.172,-1.003,-1.918,-0.265,1.653,1.218,-1.244,1.621,0.278,0.566
"12","2B","log2_radius",34,0.633,6.016,4.475,3.835,5.121,1.286,0.988,4.334,1.079,0.185,0.376
"13","2B-XL","average_curvature_um_1",39,0.011,0.107,0.044,0.036,0.068,0.032,0.016,0.051,0.024,0.004,0.008
"14","2B-XL","curve_length_um",39,5.064,29.803,11.841,8.67,14.411,5.741,4.158,12.666,5.724,0.917,1.855
"15","2B-XL","AUC",39,0.012,1.181,0.359,0.25,0.503,0.252,0.185,0.407,0.261,0.042,0.085
"16","2B-XL","radius",39,9.384,91.015,22.616,14.764,27.626,12.862,10.276,25.343,16.118,2.581,5.225
"17","2B-XL","log2_auc",39,-6.379,0.24,-1.478,-1.999,-0.993,1.005,0.776,-1.663,1.239,0.198,0.402
"18","2B-XL","log2_radius",39,3.23,6.508,4.499,3.884,4.788,0.904,0.592,4.461,0.734,0.117,0.238
"19","2Q","average_curvature_um_1",89,0.003,0.174,0.032,0.021,0.053,0.032,0.019,0.04,0.029,0.003,0.006
"20","2Q","curve_length_um",89,8.381,56.142,16.972,12.936,20.472,7.535,5.982,17.687,7.176,0.761,1.512
"21","2Q","AUC",89,0.002,2.497,0.351,0.148,0.56,0.412,0.308,0.43,0.41,0.043,0.086
"22","2Q","radius",89,5.751,383.442,31.064,18.913,48.631,29.718,22.206,42.17,46.047,4.881,9.7
"23","2Q","log2_auc",89,-8.974,1.32,-1.511,-2.759,-0.836,1.923,1.348,-1.96,1.813,0.192,0.382
"24","2Q","log2_radius",89,2.524,8.583,4.957,4.241,5.604,1.363,1.024,4.974,1.047,0.111,0.221
